teX,teY,xy,xny,nxy,nxny
T1047,T1113,30,62,106,557
T1047,T1037,2,90,10,653
T1047,T1557,5,87,5,658
T1047,T1033,42,50,140,523
T1047,T1583,13,79,24,639
T1047,T1613,0,92,3,660
T1047,T1592,1,91,2,661
T1047,T1003,31,61,56,607
T1047,T1129,4,88,12,651
T1047,T1602,0,92,0,663
T1047,T1006,0,92,0,663
T1047,T1014,2,90,23,640
T1047,T1123,3,89,25,638
T1047,T1543,20,72,116,547
T1047,T1133,9,83,14,649
T1047,T1539,3,89,7,656
T1047,T1578,0,92,1,662
T1047,T1069,13,79,34,629
T1047,T1114,7,85,20,643
T1047,T1594,1,91,3,660
T1047,T1561,3,89,9,654
T1047,T1615,1,91,3,660
T1047,T1025,3,89,19,644
T1047,T1547,47,45,192,471
T1047,T1600,0,92,0,663
T1047,T1489,11,81,17,646
T1047,T1564,18,74,82,581
T1047,T1080,3,89,7,656
T1047,T1137,6,86,4,659
T1047,T1119,13,79,37,626
T1047,T1115,7,85,26,637
T1047,T1007,13,79,43,620
T1047,T1040,5,87,10,653
T1047,T1530,0,92,2,661
T1047,T1135,18,74,30,633
T1047,T1120,12,80,31,632
T1047,T1082,63,29,267,396
T1047,T1071,51,41,282,381
T1047,T1053,47,45,97,566
T1047,T1176,0,92,4,659
T1047,T1106,22,70,126,537
T1047,T1202,1,91,2,661
T1047,T1091,6,86,16,647
T1047,T1005,29,63,132,531
T1047,T1140,36,56,182,481
T1047,T1562,26,66,71,592
T1047,T1195,4,88,7,656
T1047,T1190,9,83,19,644
T1047,T1558,7,85,3,660
T1047,T1555,20,72,67,596
T1047,T1567,8,84,20,643
T1047,T1219,3,89,15,648
T1047,T1036,38,54,178,485
T1047,T1552,14,78,27,636
T1047,T1055,32,60,107,556
T1047,T1205,0,92,9,654
T1047,T1218,36,56,95,568
T1047,T1620,3,89,7,656
T1047,T1611,0,92,5,658
T1047,T1010,7,85,22,641
T1047,T1029,4,88,13,650
T1047,T1525,0,92,0,663
T1047,T1572,7,85,11,652
T1047,T1550,9,83,11,652
T1047,T1011,0,92,1,662
T1047,T1589,8,84,9,654
T1047,T1560,29,63,91,572
T1047,T1185,5,87,6,657
T1047,T1021,30,62,56,607
T1047,T1596,0,92,0,663
T1047,T1207,0,92,1,662
T1047,T1610,0,92,4,659
T1047,T1112,29,63,103,560
T1047,T1580,0,92,0,663
T1047,T1491,4,88,1,662
T1047,T1535,0,92,0,663
T1047,T1563,1,91,1,662
T1047,T1217,3,89,9,654
T1047,T1092,0,92,3,660
T1047,T1222,3,89,16,647
T1047,T1595,4,88,5,658
T1047,T1548,12,80,42,621
T1047,T1125,5,87,26,637
T1047,T1016,51,41,176,487
T1047,T1087,28,64,53,610
T1047,T1090,21,71,71,592
T1047,T1059,75,17,353,310
T1047,T1482,9,83,5,658
T1047,T1020,2,90,18,645
T1047,T1070,53,39,216,447
T1047,T1609,0,92,5,658
T1047,T1083,43,49,230,433
T1047,T1568,11,81,28,635
T1047,T1647,0,92,1,662
T1047,T1074,23,69,68,595
T1047,T1649,1,91,2,661
T1047,T1049,29,63,50,613
T1047,T1584,6,86,8,655
T1047,T1542,2,90,12,651
T1047,T1612,0,92,0,663
